ID,title,description,mandal_ID,status,duration_days,createdAt,createdBy,modifiedAt,modifiedBy
23035704-0838-4b46-b0c4-28d82934ce77,Navkar Mantra Adhyayan,Comprehensive study of the Navkar Mantra and its significance,27036764-62df-458f-b580-6e512cf5b9c7,active,30,2023-06-12T18:30:00.000Z,system,2023-06-12T18:30:00.000Z,system
23035705-5e00-4c12-bfd3-64120b36fcce,Tattvartha Sutra,Study of Umaswami's foundational Jain philosophical text,36770777-0a4d-45b0-89d4-6191567a75c5,active,90,2022-11-15T18:30:00.000Z,system,2024-12-27T18:30:00.000Z,system
23035706-611a-467f-b29f-7a227fbf2878,Bhaktamar Stotra Path,Learning and recitation of the 48-verse devotional hymn,3677078a-98cb-4d73-b193-55fc664d5131,draft,45,2023-02-18T18:30:00.000Z,system,2023-05-19T18:30:00.000Z,system
23035707-86fa-4641-bd94-233c2dc1b9c3,Jain Darshan Parichay,Introduction to Jain philosophy and core principles,27036764-62df-458f-b580-6e512cf5b9c7,draft,60,2023-08-06T18:30:00.000Z,system,2023-01-30T18:30:00.000Z,system
23035708-43d0-4bbf-9368-5da3e381c140,Ahimsa aur Dainik Jivan,Practical application of non-violence in daily life,36770777-0a4d-45b0-89d4-6191567a75c5,active,21,2022-07-17T18:30:00.000Z,system,2023-07-25T18:30:00.000Z,system
23035709-bf45-424c-9493-47438251d0d1,Jain Itihas,History of Jainism from Lord Rishabhanatha to present,3677078a-98cb-4d73-b193-55fc664d5131,active,45,2022-09-13T18:30:00.000Z,system,2023-02-03T18:30:00.000Z,system
23035710-973c-43c2-a0df-8e78173e1981,Prakrit Bhasha Basics,Introduction to the Prakrit language of Jain scriptures,27036764-62df-458f-b580-6e512cf5b9c7,archived,90,2022-02-21T18:30:00.000Z,system,2024-01-05T18:30:00.000Z,system
23035711-f0f9-4537-921e-d061fe46d5fc,Jain Agam Sahitya,Overview of canonical Jain Agam literature,36770777-0a4d-45b0-89d4-6191567a75c5,active,60,2022-10-08T18:30:00.000Z,system,2024-01-13T18:30:00.000Z,system
23035712-3a60-4c0f-8c38-c7f0b65f58a3,Dhyan aur Samayik,Meditation techniques and Samayik practice,3677078a-98cb-4d73-b193-55fc664d5131,archived,30,2023-06-02T18:30:00.000Z,system,2024-02-11T18:30:00.000Z,system
23035713-4f1f-4b3c-a72a-50a2bd04a9a5,Ratnakar Pacchisi,Study of the 25-verse devotional text,27036764-62df-458f-b580-6e512cf5b9c7,active,15,2023-11-29T18:30:00.000Z,system,2023-02-01T18:30:00.000Z,system
23035714-5641-4829-9f31-8c0988a5bb64,Uttaradhyayan Sutra,Key discourses of Lord Mahavir to monks,36770777-0a4d-45b0-89d4-6191567a75c5,active,75,2023-01-17T18:30:00.000Z,system,2024-05-15T18:30:00.000Z,system
23035715-2082-4644-b13b-128ee0f0be8d,Jain Ethics in Business,Applying Jain ethical principles in modern business,3677078a-98cb-4d73-b193-55fc664d5131,draft,14,2023-04-02T18:30:00.000Z,system,2023-07-01T18:30:00.000Z,system
